#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Sep 21 23:13:06 EDT 2020,30,30,Assignment2Suite,GetTest0+ KeysTest0+ KeysTest3+ KeysTest5+ PutTest0+ PutTest1+ PutTest3+ PutTest4+ PutTest5+ PutTest6+ RemoveTest0+ StructureTest0+ , ,DimensionTest0- DimensionTest1- DimensionTest2- DimensionTest3- DimensionTest4- GetTest1- GetTest2- GetTest3- GetTest4- KeysTest1- KeysTest2- KeysTest4- KeysTest6- MinMaxTest0- MinMaxTest1- MinMaxTest2- MinMaxTest3- MinMaxTest4- MinMaxTest5- MinMaxTest6- MinMaxTest7- PutTest2- RemoveTest1- RemoveTest2- RemoveTest3- StructureTest1- StructureTest2- StructureTest3- , ,
1,Wed Sep 23 17:06:08 EDT 2020,30,0,Assignment2Suite,GetTest0 KeysTest0 KeysTest3 KeysTest5 PutTest0 PutTest1 PutTest3 PutTest4 PutTest5 PutTest6 RemoveTest0 StructureTest0 , ,DimensionTest0 DimensionTest1 DimensionTest2 DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 GetTest4 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 MinMaxTest7 PutTest2 RemoveTest1 RemoveTest2 RemoveTest3 StructureTest1 StructureTest2 StructureTest3 , ,
2,Wed Sep 23 17:11:33 EDT 2020,30,0,Assignment2Suite,GetTest0 KeysTest0 KeysTest3 KeysTest5 PutTest0 PutTest1 PutTest3 PutTest4 PutTest5 PutTest6 RemoveTest0 StructureTest0 , ,DimensionTest0 DimensionTest1 DimensionTest2 DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 GetTest4 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 MinMaxTest7 PutTest2 RemoveTest1 RemoveTest2 RemoveTest3 StructureTest1 StructureTest2 StructureTest3 , ,
3,Wed Sep 23 23:39:23 EDT 2020,62,32,Assignment2Suite,DimensionTest0+ DimensionTest1+ DimensionTest2+ GetTest0 GetTest4+ KeysTest0 KeysTest3 KeysTest5 MinMaxTest0+ MinMaxTest1+ MinMaxTest2+ MinMaxTest3+ MinMaxTest4+ MinMaxTest5+ MinMaxTest6+ PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2+ StructureTest0 StructureTest1+ StructureTest2+ , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3- RemoveTest1 RemoveTest3 StructureTest3 , ,
4,Wed Sep 23 23:42:10 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
5,Wed Sep 23 23:42:50 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
6,Wed Sep 23 23:55:14 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
7,Thu Sep 24 00:18:43 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
8,Thu Sep 24 00:24:54 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
9,Thu Sep 24 00:25:03 EDT 2020,62,0,Assignment2Suite,DimensionTest0 DimensionTest1 DimensionTest2 GetTest0 GetTest4 KeysTest0 KeysTest3 KeysTest5 MinMaxTest0 MinMaxTest1 MinMaxTest2 MinMaxTest3 MinMaxTest4 MinMaxTest5 MinMaxTest6 PutTest0 PutTest1 PutTest4 PutTest5 PutTest6 RemoveTest0 RemoveTest2 StructureTest0 StructureTest1 StructureTest2 , ,DimensionTest3 DimensionTest4 GetTest1 GetTest2 GetTest3 KeysTest1 KeysTest2 KeysTest4 KeysTest6 MinMaxTest7 PutTest2 PutTest3 RemoveTest1 RemoveTest3 StructureTest3 , ,
